exp,H,beta,m,V
44,0.01,1.5707963267949,1.1238,4.73684210526316
45,0.01,1.5707963267949,1.1238,5.11578947368421
46,0.01,1.5707963267949,1.1238,5.49473684210526
47,0.01,1.5707963267949,1.1238,5.87368421052632
48,0.01,1.5707963267949,1.1238,6.25263157894737
49,0.01,1.5707963267949,1.1238,6.63157894736842
50,0.01,1.5707963267949,1.1238,7.01052631578947
51,0.01,1.5707963267949,1.1238,7.38947368421053
52,0.01,1.5707963267949,1.1238,7.76842105263158
53,0.01,1.5707963267949,1.1238,8.14736842105263
54,0.01,1.5707963267949,1.1238,8.52631578947368
55,0.01,1.5707963267949,1.1238,8.90526315789474
56,0.01,1.5707963267949,1.1238,9.28421052631579
57,0.01,1.5707963267949,1.1238,9.66315789473684
58,0.01,1.5707963267949,1.1238,10.0421052631579
59,0.01,1.5707963267949,1.1238,10.4210526315789
60,0.01,1.5707963267949,1.1238,10.8
61,0.01,1.5707963267949,1.3067,3.6
62,0.01,1.5707963267949,1.3067,3.97894736842105
63,0.01,1.5707963267949,1.3067,4.35789473684211
64,0.01,1.5707963267949,1.3067,4.73684210526316
65,0.01,1.5707963267949,1.3067,5.11578947368421
66,0.01,1.5707963267949,1.3067,5.49473684210526
67,0.01,1.5707963267949,1.3067,5.87368421052632
68,0.01,1.5707963267949,1.3067,6.25263157894737
69,0.01,1.5707963267949,1.3067,6.63157894736842
70,0.01,1.5707963267949,1.3067,7.01052631578947
71,0.01,1.5707963267949,1.3067,7.38947368421053
72,0.01,1.5707963267949,1.3067,7.76842105263158
73,0.01,1.5707963267949,1.3067,8.14736842105263
74,0.01,1.5707963267949,1.3067,8.52631578947368
75,0.01,1.5707963267949,1.3067,8.90526315789474
76,0.01,1.5707963267949,1.3067,9.28421052631579
77,0.01,1.5707963267949,1.3067,9.66315789473684
78,0.01,1.5707963267949,1.3067,10.0421052631579
79,0.01,1.5707963267949,1.3067,10.4210526315789
80,0.01,1.5707963267949,1.3067,10.8
81,0.01,2.35619449019234,0.7325,3.6
82,0.01,2.35619449019234,0.7325,3.97894736842105
83,0.01,2.35619449019234,0.7325,4.35789473684211
84,0.01,2.35619449019234,0.7325,4.73684210526316
85,0.01,2.35619449019234,0.7325,5.11578947368421
86,0.01,2.35619449019234,0.7325,5.49473684210526
